index,category,symptom
11,General,Kehilangan nafsu makan
25,General,Kesulitan tidur
39,General,Pikiran tentang kematian atau kehancuran
52,General,Perasaan bersalah
2,Somatization,Pusing atau pingsan
7,Somatization,Nyeri di area jantung atau dada
23,Somatization,Mual atau perut mual
29,Somatization,Sulit bernafas
30,Somatization,Merasa panas atau kedinginan tiba-tiba
33,Somatization,Kebas atau kesemutan di beberapa bagian tubuh
37,Somatization,Merasa lemah di beberapa bagian tubuh
5,Obsession-Compulsion,Sulit mengingat hal-hal
15,Obsession-Compulsion,Merasa terhalang dalam menyelesaikan tugas
26,Obsession-Compulsion,Harus memeriksa dan memeriksa ulang apa yang Anda lakukan
27,Obsession-Compulsion,Kesulitan membuat keputusan
32,Obsession-Compulsion,Pikiran kosong
36,Obsession-Compulsion,Sulit berkonsentrasi
20,Interpersonal Sensitivity,Perasaan Anda mudah tersinggung
21,Interpersonal Sensitivity,Merasa bahwa orang lain tidak ramah atau tidak menyukai Anda
22,Interpersonal Sensitivity,Merasa rendah diri dibandingkan orang lain
42,Interpersonal Sensitivity,Merasa sangat sadar diri di depan orang lain
9,Depression,Pikiran untuk mengakhiri hidup Anda
16,Depression,Merasa kesepian
17,Depression,Merasa sedih
18,Depression,Tidak tertarik pada hal-hal
35,Depression,Merasa putus asa tentang masa depan
50,Depression,Perasaan tidak berharga
1,Anxiety,Gelisah atau gemetar di dalam
12,Anxiety,Tiba-tiba ketakutan tanpa alasan
19,Anxiety,Merasa takut
38,Anxiety,Merasa tegang atau cemas
45,Anxiety,Serangan panik atau rasa teror
49,Anxiety,Merasa sangat gelisah hingga sulit diam
6,Hostility,Mudah tersinggung atau teriritasi
13,Hostility,Meledakkan amarah yang tidak bisa Anda kendalikan
40,Hostility,Merasa ingin memukul, melukai, atau menyakiti seseorang
41,Hostility,Merasa ingin merusak atau menghancurkan benda-benda
46,Hostility,Sering terlibat dalam pertengkaran
8,Phobic Anxiety,Merasa takut di tempat terbuka
28,Phobic Anxiety,Merasa takut naik bus, kereta bawah tanah, atau kereta
31,Phobic Anxiety,Harus menghindari beberapa hal, tempat, atau aktivitas karena ketakutan
43,Phobic Anxiety,Merasa tidak nyaman di kerumunan
47,Phobic Anxiety,Merasa gugup ketika ditinggalkan sendirian
4,Paranoid Ideation,Merasa orang lain bertanggung jawab atas sebagian besar masalah Anda
10,Paranoid Ideation,Merasa bahwa sebagian besar orang tidak dapat dipercaya
24,Paranoid Ideation,Merasa bahwa Anda selalu diawasi atau dibicarakan oleh orang lain
48,Paranoid Ideation,Orang lain tidak memberikan pengakuan yang layak atas prestasi Anda
51,Paranoid Ideation,Merasa bahwa orang akan memanfaatkan Anda jika diberi kesempatan
3,Psychoticism,Ide bahwa seseorang bisa mengendalikan pikiran Anda
14,Psychoticism,Merasa kesepian bahkan saat bersama orang lain
34,Psychoticism,Ide bahwa Anda harus dihukum karena dosa-dosa Anda
44,Psychoticism,Tidak pernah merasa dekat dengan orang lain
53,Psychoticism,Ide bahwa ada yang salah dengan pikiran Anda
